"name","new_name","file","exported"
"batter_game_logs_fg","","R/fg_batter_game_logs.R",TRUE
"bref_daily_batter","","R/bref_daily_batter.R",TRUE
"bref_daily_pitcher","","R/bref_daily_pitcher.R",TRUE
"bref_standings_on_date","","R/bref_standings_on_date.R",TRUE
"bref_team_results","","R/bref_team_results.R",TRUE
"chadwick_player_lu","","R/chadwick_player_lu.R",TRUE
"code_barrel","","R/sch_code_barrel.R",TRUE
"daily_batter_bref","","R/bref_daily_batter.R",TRUE
"daily_pitcher_bref","","R/bref_daily_pitcher.R",TRUE
"edge_code","","R/sch_edge_code.R",TRUE
"edge_frequency","","R/sch_edge_frequency.R",TRUE
"edge_scrape","","R/sc_edge_scrape.R",TRUE
"edge_scrape_split","","R/sc_edge_scrape_split.R",TRUE
"fg_bat_leaders","","R/fg_batter_leaders.R",TRUE
"fg_batter_game_logs","","R/fg_batter_game_logs.R",TRUE
"fg_batter_leaders","","R/fg_batter_leaders.R",TRUE
"fg_guts","","R/fg_guts.R",TRUE
"fg_milb_batter_game_logs","","R/fg_milb_batter_game_logs.R",TRUE
"fg_milb_pitcher_game_logs","","R/fg_milb_pitcher_game_logs.R",TRUE
"fg_park","","R/fg_park.R",TRUE
"fg_park_hand","","R/fg_park.R",TRUE
"fg_pitch_leaders","","R/fg_pitcher_leaders.R",TRUE
"fg_pitcher_game_logs","","R/fg_pitcher_game_logs.R",TRUE
"fg_pitcher_leaders","","R/fg_pitcher_leaders.R",TRUE
"fip_plus","","R/metrics_fip_plus.R",TRUE
"get_batting_orders","","R/mlb_batting_orders.R",TRUE
"get_chadwick_lu","","R/chadwick_player_lu.R",TRUE
"get_draft_mlb","","R/mlb_draft.R",TRUE
"get_game_info_mlb","","R/mlb_game_info.R",TRUE
"get_game_info_sup_petti","","R/load_game_info_sup.R",TRUE
"get_game_pks_mlb","","R/mlb_game_pks.R",TRUE
"get_ncaa_baseball_pbp","","R/ncaa_baseball_pbp.R",TRUE
"get_ncaa_baseball_roster","","R/ncaa_baseball_roster.R",TRUE
"get_ncaa_game_logs","","R/ncaa_game_logs.R",TRUE
"get_ncaa_lineups","","R/ncaa_lineups.R",TRUE
"get_ncaa_park_factor","","R/ncaa_park_factor.R",TRUE
"get_ncaa_schedule_info","","R/ncaa_schedule_info.R",TRUE
"get_pbp_mlb","","R/mlb_pbp.R",TRUE
